"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2023","207.46","197.53","207.79","197.20","169.05M","6.24%"
"03/30/2023","195.28","195.58","197.33","194.42","109.61M","0.72%"
"03/29/2023","193.88","193.13","195.29","189.44","123.66M","2.48%"
"03/28/2023","189.19","192.00","192.35","185.43","98.18M","-1.37%"
"03/27/2023","191.81","194.41","197.39","189.94","120.25M","0.74%"
"03/24/2023","190.41","191.65","192.36","187.15","116.53M","-0.94%"
"03/23/2023","192.22","195.26","199.31","188.65","143.36M","0.56%"
"03/22/2023","191.15","199.30","200.66","190.95","149.07M","-3.25%"
"03/21/2023","197.58","188.28","198.00","188.04","152.57M","7.82%"
"03/20/2023","183.25","178.08","186.44","176.35","129.31M","1.73%"
"03/17/2023","180.13","184.51","186.22","177.33","133.20M","-2.17%"
"03/16/2023","184.13","180.37","185.81","178.84","121.37M","2.04%"
"03/15/2023","180.45","180.80","182.34","176.03","144.60M","-1.53%"
"03/14/2023","183.26","177.31","183.80","177.14","142.66M","5.03%"
"03/13/2023","174.48","167.46","177.35","163.91","167.79M","0.60%"
"03/10/2023","173.44","175.13","178.29","168.44","191.49M","0.30%"
"03/09/2023","172.92","180.25","185.18","172.51","167.50M","-4.99%"
"03/08/2023","182.00","185.04","186.50","180.00","151.90M","-3.04%"
"03/07/2023","187.71","191.38","194.20","186.10","148.13M","-3.15%"
"03/06/2023","193.81","198.54","198.60","192.30","128.10M","-2.01%"
"03/03/2023","197.79","194.79","200.48","192.88","153.44M","3.61%"
"03/02/2023","190.90","186.74","193.75","186.01","180.86M","-5.85%"
"03/01/2023","202.77","206.21","207.20","198.52","145.64M","-1.43%"
"02/28/2023","205.71","210.59","211.23","203.75","153.14M","-0.92%"
"02/27/2023","207.63","202.03","209.42","201.26","161.03M","5.46%"
"02/24/2023","196.88","196.32","197.67","192.80","142.23M","-2.57%"
"02/23/2023","202.07","203.91","205.14","196.33","146.36M","0.60%"
"02/22/2023","200.86","197.93","201.99","191.78","191.83M","1.77%"
"02/21/2023","197.37","204.99","209.71","197.22","180.02M","-5.25%"
"02/17/2023","208.31","199.99","208.44","197.50","213.74M","3.10%"
"02/16/2023","202.04","210.78","217.65","201.84","225.50M","-5.69%"
"02/15/2023","214.24","211.76","214.66","206.11","180.17M","2.38%"
"02/14/2023","209.25","191.94","209.82","189.44","216.46M","7.51%"
"02/13/2023","194.64","194.41","196.30","187.61","171.90M","-1.14%"
"02/10/2023","196.89","202.23","206.20","192.89","204.75M","-5.03%"
"02/09/2023","207.32","207.77","214.00","204.77","213.30M","3.00%"
"02/08/2023","201.29","196.10","203.00","194.31","179.60M","2.28%"
"02/07/2023","196.81","196.43","197.50","189.55","185.21M","1.05%"
"02/06/2023","194.76","193.01","198.17","189.92","185.36M","2.52%"
"02/03/2023","189.98","183.95","199.00","183.69","232.66M","0.91%"
"02/02/2023","188.27","187.32","196.75","182.61","215.01M","3.78%"
"02/01/2023","181.41","173.89","183.80","169.93","210.47M","4.73%"
"01/31/2023","173.22","164.57","174.30","162.78","196.81M","3.94%"
"01/30/2023","166.66","178.05","179.77","166.50","228.97M","-6.32%"
"01/27/2023","177.90","162.43","180.68","161.17","306.59M","11.00%"
"01/26/2023","160.27","159.96","161.42","154.76","233.15M","10.97%"
"01/25/2023","144.43","141.90","146.41","138.07","176.97M","0.38%"
"01/24/2023","143.89","143.00","146.50","141.10","156.01M","0.10%"
"01/23/2023","143.75","135.87","145.38","134.27","201.05M","7.74%"
"01/20/2023","133.42","128.68","133.51","127.35","138.86M","4.91%"
"01/19/2023","127.17","127.26","129.99","124.31","169.34M","-1.25%"
"01/18/2023","128.78","136.55","136.68","127.01","195.68M","-2.06%"
"01/17/2023","131.49","125.69","131.70","125.02","185.21M","7.43%"
"01/13/2023","122.40","116.55","122.63","115.60","180.71M","-0.94%"
"01/12/2023","123.56","122.56","124.13","117.00","168.80M","0.28%"
"01/11/2023","123.22","122.09","125.95","120.51","183.19M","3.68%"
"01/10/2023","118.85","121.07","122.76","114.92","166.48M","-0.77%"
"01/09/2023","119.77","118.96","123.52","117.11","189.34M","5.93%"
"01/06/2023","113.06","103.00","114.39","101.81","220.91M","2.47%"
"01/05/2023","110.34","110.51","111.75","107.16","157.24M","-2.90%"
"01/04/2023","113.64","109.11","114.59","107.52","179.52M","5.12%"
"01/03/2023","108.10","118.47","118.80","104.64","230.04M","-12.24%"
